Complaint_ID,Category,Incident_Description,Amount_INR,Transaction_ID,Incident_Time
C012,Phishing,"On 17 August 2026 at 3:41 PM, I received an SMS stating that my parcel could not be delivered because the address was incomplete. The message included a link to parcel-update.test and asked me to pay ₹35 for address correction. The page requested my name, phone number, card details and OTP. I entered the information but cancelled the process before confirming the final payment. I am reporting the incident because the message appeared to impersonate a courier service.",,PHISH-FX170826-28451,2026-08-17 15:41
C013,Phishing,"At about 8:08 PM on 16 August 2026, I received a message on a social networking platform saying that my account had violated community rules and would be permanently suspended. The message directed me to a fake appeal page at social-appeal.test. The page requested my login credentials and a recovery email. I entered the username and password, after which I received an unusual-login notification from an unfamiliar location.",,PHISH-FX160826-50733,2026-08-16 20:08
C014,Phishing,"On 15 August 2026 at 10:26 AM, I received an email with the subject 'Tax document verification pending'. It contained an attachment and a button leading to a fictional income-tax assistance page at tax-file-check.test. The page asked me to sign in and enter a one-time verification code. I entered my credentials but did not provide the OTP because the page displayed an unusual request for my complete banking PIN.",,PHISH-FX150826-64192,2026-08-15 10:26
C015,Phishing,"I received a WhatsApp message at 6:17 PM on 14 August 2026 from an unknown number claiming that I had won a shopping voucher. The message directed me to voucher-claim.test and instructed me to log in using my email and password before claiming the reward. After entering the credentials, I received an email alert showing a password-reset attempt from an unfamiliar device. I did not authorize that reset.",,PHISH-FX140826-39208,2026-08-14 18:17
C016,Phishing,"On 13 August 2026 at around 1:03 PM, I received a fake security notification for my fictional email provider NovaMail. The message stated that my mailbox would be disabled within two hours unless I completed verification. The included link opened a page that looked similar to the normal login screen and asked for my password and recovery code. I entered the password before realizing the domain was novamail-secure.test rather than the official service.",,PHISH-FX130826-72514,2026-08-13 13:03
C017,Phishing,"At 11:49 PM on 12 August 2026, I received an SMS saying that my mobile number would be disconnected because identity verification was incomplete. The message contained a shortened-looking link that redirected to telecom-update.test. The page asked for my phone number, date of birth and a verification OTP. I entered the first OTP but did not enter the second one after noticing spelling errors on the page.",,PHISH-FX120826-80463,2026-08-12 23:49
C018,Phishing,"On 11 August 2026 at 4:22 PM, I received a message through an online gaming community saying that my game account had been selected for a free premium-item promotion. I was directed to game-reward.test and asked to sign in with my game username and password. After submitting the details, my game account password stopped working and the recovery email was changed without my permission.",,PHISH-FX110826-31679,2026-08-11 16:22
C019,Phishing,"At approximately 7:35 AM on 10 August 2026, an email appeared to come from the administrator of my college's student portal. It stated that students had to verify their scholarship details before the deadline and provided a login link to student-scholarship.test. I entered my portal username and password. Within an hour, I received a notification that my account had been accessed from an unfamiliar device.",,PHISH-FX100826-55902,2026-08-10 07:35
C020,Phishing,"On 9 August 2026 at 2:58 PM, I received a direct message offering a discount on an online course. The sender provided a payment page at course-offer.test and asked me to sign in using my email account to unlock the discount. The page then requested a recovery code, which I did not submit. I later found that the sender's profile had disappeared and the website was no longer reachable.",,PHISH-FX090826-94826,2026-08-09 14:58
C021,Hacking,"On 18 August 2026 at 6:42 AM, I noticed that my personal email account had been logged out on my laptop. The recovery email had been changed and several security settings were different from what I had configured. I received alerts showing successful logins from an unfamiliar device during the early morning hours. I had not shared my password with anyone. The intruder also sent two emails from my account that I did not write.",,HACK-FX180826-62014,2026-08-18 06:42
C022,Hacking,"At about 11:27 PM on 17 August 2026, my account on a fictional online game called RealmForge was accessed without my permission. My saved characters had been deleted, in-game currency was transferred to another player, and the registered email address was changed. I had enabled a password on the account and did not authorize the changes. The game showed a login from an unfamiliar device shortly before the compromise.",7400.0,GAME-FX170826-44183,2026-08-17 23:27
C023,Hacking,"On 16 August 2026 at 9:14 PM, I found that my social media account had been taken over. The attacker changed the password, removed my recovery phone number and posted messages from my profile. Friends informed me that the account was sending them a suspicious link. I recovered the account temporarily but noticed that a new authentication device was still listed in the security settings.",,HACK-FX160826-73520,2026-08-16 21:14
C024,Hacking,"At 3:36 PM on 15 August 2026, my laptop began opening unknown browser windows and creating files with unfamiliar names. My antivirus software showed that a new program had been installed without my permission. I later discovered that saved browser sessions for two accounts had been accessed. I disconnected the laptop from the internet and changed passwords from another device. I am reporting the unauthorized access and suspected malware activity.",,HACK-FX150826-20864,2026-08-15 15:36
C025,Hacking,"On 14 August 2026 at around 1:18 AM, I received multiple security alerts for my fictional cloud-storage account. The alerts showed repeated login attempts followed by one successful login from an unknown device. When I checked the account, three private folders had been renamed and several files had been moved to a new folder. I did not make these changes and had not given anyone access to the account.",,CLOUD-FX140826-51793,2026-08-14 01:18
C026,Hacking,"On 13 August 2026 at 8:47 PM, my online shopping account was accessed by an unknown person. The saved delivery address was changed, a new device was added, and an order for ₹6,850 was placed using a stored payment method. I cancelled the order after receiving the notification. I had not logged in from a new device that day and did not authorize the account changes.",6850.0,SHOP-FX130826-86321,2026-08-13 20:47
C027,Hacking,"At approximately 5:05 PM on 12 August 2026, I noticed that my home Wi-Fi router settings had changed. The administrator password was no longer accepted, the DNS settings were different, and an unfamiliar device appeared in the connected-device list. I had not changed the configuration. After resetting the router, I found that the firmware settings had also been modified.",,NET-FX120826-39476,2026-08-12 17:05
C028,Hacking,"On 11 August 2026 at 10:52 AM, my college learning-management account started displaying assignments as submitted even though I had not submitted them. The password was changed shortly afterward and I received a login notification from an unfamiliar device. I regained access using the recovery process and found that my profile information had been edited. I believe another person accessed the account without permission.",,LMS-FX110826-67240,2026-08-11 10:52
C029,Hacking,"On 10 August 2026 at 12:31 PM, I discovered that my messaging account had been registered on another device. Several conversations were marked as read and two contacts received messages asking for money. I did not send those messages. The attacker appears to have obtained access to the account and used it to impersonate me. I have now revoked all active sessions and enabled additional login protection.",,MSG-FX100826-14589,2026-08-10 12:31
C030,Hacking,"At 7:19 PM on 9 August 2026, I found that my personal website's administrator panel had been accessed without authorization. Several harmless pages were modified with unfamiliar text, and a new administrator account named 'sitehelper_77' appeared in the control panel. I did not create that account. The hosting provider's log showed an unknown login shortly before the changes were made.",,WEB-FX090826-83105,2026-08-09 19:19
C031,Cyberbullying,"Since 17 August 2026, an unknown account on a social networking platform has repeatedly posted insulting comments about me and tagged my classmates. The account has used edited images of me with derogatory captions and has encouraged others to mock me. I blocked the account twice, but new accounts appeared with similar content. The posts are affecting my ability to attend online classes comfortably, and I have saved screenshots and profile links as evidence.",,CB-FX170826-24061,2026-08-17 18:30
C032,Cyberbullying,"On 16 August 2026 at approximately 9:40 PM, I started receiving abusive messages through a group chat connected to an online gaming community. Two users repeatedly called me names, posted altered screenshots of my conversations, and encouraged other members to target me. When I left the group, they continued sending messages through newly created accounts. I have retained the messages and usernames.",,CB-FX160826-51742,2026-08-16 21:40
C033,Cyberbullying,"For the past four days, a person using the username 'darkorbit_58' has been posting false and insulting statements about me on a public discussion forum. The posts include my first name, college course and a photograph taken from my public profile. The person has repeatedly asked others to contact me and make fun of me. I reported the posts to the platform, but the content is still visible.",,CB-FX140826-69315,2026-08-14 20:15
C034,Cyberbullying,"On 13 August 2026 at around 6:12 PM, I received a series of threatening and abusive direct messages after participating in an online discussion. The sender repeatedly used offensive language, said they would publicly shame me, and created a fake profile using a similar name and photograph. The fake profile then sent requests to several people known to me. I have taken screenshots of the messages and profile.",,CB-FX130826-38170,2026-08-13 18:12
C035,Cyberbullying,"Since 12 August 2026, an unknown person has been posting humiliating edited images of me in a private messaging group containing people from my locality. The images are digitally altered and accompanied by insulting comments about my appearance. I requested the sender to remove them, but the posts continued. Other members have forwarded the images to me, and I have preserved the original messages for evidence.",,CB-FX120826-80526,2026-08-12 22:05
C036,Cyberbullying,"At about 4:50 PM on 11 August 2026, I was added to a group on a social messaging platform where several unknown users began mocking me because of a comment I had made on a public post. They repeatedly tagged my account, used abusive language and posted altered versions of my profile picture. After I blocked them, one user created another account and continued the messages.",,CB-FX110826-46218,2026-08-11 16:50
C037,Cyberbullying,"On 10 August 2026 at 8:26 PM, a former online gaming teammate began posting repeated insulting messages about me on the game's public clan board. The messages accuse me of cheating and contain my username and a personal photograph taken from another platform. The person has also encouraged other players to report my account falsely. I have saved the posts and the associated account details.",,CB-FX100826-72491,2026-08-10 20:26
C038,Cyberbullying,"Since 9 August 2026, an anonymous account has been sending me repeated abusive voice messages and text messages through a social platform. The sender has threatened to spread fabricated statements about me to people I know and has created multiple accounts after being blocked. The messages are being received at different times of the day, including late at night. I have preserved the chat history and account names.",,CB-FX090826-15638,2026-08-09 23:11
C039,Cyberbullying,"On 8 August 2026 at approximately 7:03 PM, a user on an online study forum posted a false allegation about me and repeatedly encouraged other members to leave insulting replies. The user shared a cropped photograph from my profile and mentioned my college course. Several replies continued after I asked for the post to be removed. I reported the content through the forum's reporting option and kept screenshots of the complete thread.",,CB-FX080826-60974,2026-08-08 19:03
C040,Cyberbullying,"At around 5:38 PM on 7 August 2026, I discovered a fake social-media profile using my name and a similar profile photograph. The account has been sending insulting messages to people I know and making false statements that appear to be about me. A friend forwarded screenshots showing that the account was contacting multiple people. I have reported the impersonating account to the platform and am submitting this complaint with the screenshots.",,CB-FX070826-28753,2026-08-07 17:38
